Siralim Ultimate,,Version 1.0.4,,Please send any corrections and screenshots of new entries to me on Discord. EmptyPalms#9402,
Sorcery,Spellmane,Voltskin Spellmane,Staticstalker,"At the start of battle, this creature gains Chain Lightning. After this creature Casts this spell, it gains Invisible and 20% Speed.",Voltatic Pelt
Rodian Master,Spellmane,Mastery Trait,Master of Spellmanes,"If all the creatures in your party are Spellmanes, they are immune to Silenced and no Spell Gems can be sealed.",Sigil of the Spellmane
Life,Sphinx,Sphinx Avenger,Desert Glory,"After your creatures die, they have a 5% chance to be resurrected with 50% Health for each creature of its own class fighting on your side. This trait does not stack.",Avenger Mane
Life,Sphinx,Sphinx Elder,Pharaoh's Boon,"Your creatures have 10% more Attack, Intelligence, Defense, and Speed for each creature of the same class fighting on your side. This trait does not stack.",Elder Mane
Life,Sphinx,Sphinx Healer,Rejuvenation,"At the start of your creatures' turns, they recover 12% Health for each creature of the same class fighting on your side. This trait does not stack.",Healer Mane
Life,Sphinx,Sphinx Justicar,Recombobulation,"At the start of battle, your creatures are set to the same class, chosen randomly.",Justicar Mane
Life,Sphinx,Sphinx Ordainer,Blessing of Sands,Your creatures' traits and other effects act as if your party contains 3 more creatures that belong to the same class. This trait does not stack.,Ordainer Mane
Life,Sphinx,Sphinx Usurper,Prejudice,"After this creature Attacks, it also Attacks every other enemy that belongs to the same class as the target.",Usurper Mane
Life,Sphinx,Sphinx Zealot,Pharaoh's Bane,"Enemies have 5% less Attack, Intelligence, Defense, and Speed for each creature of this creature's own class fighting on your side. This trait does not stack.",Zealot Mane
Nether Boss,Sphinx,Ramses,Ramses's Conspiracy,Cursed enemies take damage at the start of their turns equal to 25% of this creature's Intelligence. This trait does not stack.,Ramses's Mane
Nether Boss,Sphinx,Ramses,Ramses's Deception,"At the start of each Cursed enemy's turn, they have a 30% chance to Attack one of their allies. This trait does not stack.",Ramses's Crest
Nether Boss,Sphinx,Ramses,Ramses's Plot,Cursed enemies take damage at the start of their turns equal to 25% of this creature's Attack. This trait does not stack.,Ramses's Eye
Rodian Master,Sphinx,Mastery Trait,Master of Sphinxes,Your Sphinxes start battles with Rebirth.,Sigil of the Sphinx
Life,Spirit,Ancient Spirit,Essential Dignity,"After your creatures are healed, they gain a random buff. This trait does not stack.",Ancient Fluff
Life,Spirit,Clairvoyant Spirit,Abnegation,"After your creatures are healed, a random enemy takes damage equal to 50% of the amount of Health recovered. This trait does not stack.",Clairvoyant Fluff
Death,Spirit,Evil Spirit,Doom and Gloom,"When an enemy would afflict this creature with a debuff, this creature has a 50% chance to afflict that enemy with the debuff instead.",Evil Fluff
Life,Spirit,Exalted Spirit,Benefic,"After your creatures are healed, they gain a Barrier that absorbs damage equal to 50% of the amount of Health recovered. This trait does not stack.",Exalted Fluff
Life,Spirit,Fog Spirit,Absence of Light,"After an enemy is healed, this creature decreases their lowest stat by 25%.",Fog Fluff
Life,Spirit,Frozen Spirit,Dreams of Ice,"After your creatures are healed, they gain 25% Defense. This trait does not stack.",Frozen Fluff
Life,Spirit,Holiday Spirit,Repetitive Holiday,"At the start of each of your creatures' turns, this creature has a 50% chance to be killed. If it's already dead, it has a 50% chance to be resurrected with 50% Health.",Holiday Gift
Life,Spirit,Malignant Spirit,Stay Dead,"After an enemy is resurrected, this creature deals damage to all enemies equal to 60% of its Intelligence.",Malignant Fluff
Life,Spirit,Succubus Spirit,Carnal Genesis,"After your creatures are healed, they have a 10% chance to move to the top of the Timeline. This trait does not stack.",Succubus Fluff
Life,Spirit,Willow Spirit,Everglow,Your creatures recover 100% more Health from healing effects. This trait does not stack.,Willow Fluff
Rodian Master,Spirit,Mastery Trait,Master of Spirits,Your Spirits' innate traits activate twice.,Sigil of the Spirit
Life,Stag,Stag Abstract,Prism,This creature's Spell Gems that have potency modifiers now use 100% of those stats.,Abstract Antler
Life,Stag,Stag Celestial,Sun Prayer,Your creatures' 'Chance to Provoke' Spell Gem properties have double the chance to activate. This trait does not stack.,Celestial Antler
Life,Stag,Stag Guardian,Moon Prayer,Your creatures' 'Chance to Defend' Spell Gem properties have double the chance to activate. This trait does not stack.,Guardian Antler
Life,Stag,Stag Guide,Christmas is Canceled,"At the start of battle, this creature afflicts 3 random enemies with Disarmed.",Reindeer Gift
Life,Stag,Stag Idol,Star Prayer,Your creatures' 'Chance to Attack' Spell Gem properties have double the chance to activate. This trait does not stack.,Idol Antler
Life,Stag,Stag Overseer,Touched By The Gods,"Your creatures' ""Chance to Cast Twice"" Spell Gem properties now activate 1 additional time.",Overseer Antler
Life,Stag,Stag Royal,Endlessly,Your creatures' Spell Gems gain 50% more benefit from their 'More Charges' properties. This trait does not stack.,Royal Antler
Life,Stag,Stag Spirit,Like Sand,Your creatures' 'Cascading' spells now consume 2 additional Charges while they have over 50% of their total Charges. This trait does not stack.,Spirit Antler
Rodian Master,Stag,Mastery Trait,Master of Stags,"If all the creatures in your party are Stags, their innate traits are 100% more effective. This trait does not stack.",Sigil of the Stag
Nature,Storm,Blizzard,Best Kind of Weather,"At the start of battle, your creatures gain Snowstorm. This spell deals 100% more damage.",Blizzard Gift
Nature,Storm,Cyclone,Storm to Pass,"While this creature is above 90% Health, enemies have a 20% chance to lose their turn at the start of their turn. This trait does not stack.",Cyclone Cloud
Nature,Storm,Hurricane,Powershift,"While this creature is above 90% Health, it deals 100% more damage.",Hurricane Cloud
Nature,Storm,Malignant Storm,Wasted Age,"While this creature is above 90% Health, it is immune to damage from spells.",Malignant Storm
Nature,Storm,Raving Storm,Cloud Connected,"While this creature is above 90% Health, it has Repelling and Immune.",Raving Cloud
Nature,Storm,Red Storm,Sailor's Warning,"While this creature is above 90% Health, it has 50% more Attack, Intelligence, Defense, and Speed.",Red Cloud
Nature,Storm,Storm Lord,Damage Control,"While this creature is above 90% Health, your creatures take 65% less damage. This trait does not stack.",Lord Cloud
Nature,Storm,Thunder Storm,Eye of the Storm,"While this creature is above 90% health, your creatures' Health cannot fall below 5%.
This effect is ignored if the incoming damage would exceed 100% of the creature's Maximum Health.",Thunder Cloud
Rodian Master,Storm,Mastery Trait,Master of Storms,"If all the creatures in your party are Storms, their innate traits now activate while they're above 60% Health.",Sigil of the Storm
Nature,Tanukrook,Tanukrook,Monster Crown,"At the start of this creature's turn, it kills your other creatures and gains 20% of their stats (other than Health).",Tanukrook Pact
Chaos,Toxdweller,Toxdweller Bloodbather,And You Get A Bomb,"At the start of battle, this creature afflicts 3 random enemies with Bomb.",Bloodbather Poison
Chaos,Toxdweller,Toxdweller Decoy,Not Quite A Dud,"When an enemy's Bomb detonates at the start of their turn, there is a 50% chance the Bomb debuff won't be removed from the creature. This trait does not stack.",Decoy Poison
Chaos,Toxdweller,Toxdweller Infector,Imminent Danger,"After your creatures attack an enemy with Bomb, the potency of the Bomb increases by 20%. This trait does not stack.",Infector Poison
Chaos,Toxdweller,Toxdweller Mutant,"Click, Click, Boom!","After this creature defends or provokes, enemies take damage from their Bomb debuffs.",Mutant Poison
Chaos,Toxdweller,Toxdweller Parasite,Sharing Is Caring,"After an enemy's Bomb detonates, adjacent enemies take 100% of the detonation damage as well. This trait does not stack.",Parasite Poison
Chaos,Toxdweller,Toxdweller Slasher,A Gift For You,This creature's attacks deal 75% more damage and afflict the target with Bomb.,Slasher Poison
Nether Boss,Toxdweller,Spoonor,Spoonor's Breath,"At the start of this creature's turn, it increases the potency of enemies' Poisoned debuffs by 50%.",Spoonor's Spoon
Nether Boss,Toxdweller,Spoonor,Spoonor's Gift,"At the start of this creature's turn, it increases the potency of enemies' Bomb debuffs by 50%.",Spoonor's Spork
Nether Boss,Toxdweller,Spoonor,Spoonor's Other Breath,"At the start of this creature's turn, it increases the potency of enemies' Burning debuffs by 50%.",Spoonor's Fork
Rodian Master,Toxdweller,Mastery Trait,Master of Toxdwellers,Enemies' Bomb debuffs have an independent 50% chance to detonate 1 additional time for each Toxdweller in your party. This trait does not stack.,Sigil of the Toxdweller
Nature,Tremor,Ahnkol Tremor,Stomp,"When an enemy Attacks, it has a 35% chance to be interrupted. This trait does not stack.",Ahnkol Soil
Nature,Tremor,Ahnok Tremor,Constrict,"At the start of this creature's turn, it afflicts a random enemy with Snared and Feared.",Ahnok Soil
Nature,Tremor,Gorlum Tremor,Solidarity,"At the start of battle, this creature Seals your creatures' first 2 Spell Gems and gains copies of them.",Gorlum Soil
Nature,Tremor,Hanyac Tremor,Twilight,"At the end of this creature's turn, if it didn't cause any damage during its turn, it Attacks a random enemy for 200% normal damage.",Hanyac Soil
Nature,Tremor,Quamar Tremor,Jolt,"At the end of each enemy's turn, they are affliected with Stone. This trait does not stack.",Quamar Soil
Nature,Tremor,Quarnok Tremor,Rattle,"After an enemy Defends or Provokes, this creature Attacks it and afflicts it with Stone.",Quarnok Soil
Nature,Tremor,Urhul Tremor,Shake,"When an enemy Casts a spell, it has a 35% chance to be interrupted. This trait does not stack.",Urhul Soil
Rodian Master,Tremor,Mastery Trait,Master of Tremors,Your Tremors have 25% more Defense for each Tremor fighting on your side. This trait does not stack.,Sigil of the Tremor
Chaos,Troll,Chaos Troll,Otherworld,Enemies take 20% more indirect damage. This trait does not stack.,
Nature,Troll,Troll Alemaster,Mystery Brew,"After this creature Provokes, it casts a random Booze Spell for each time (up to 5) it has Provoked in the current battle.",Alemaster Sweat
Nature,Troll,Troll Arsonist,Resin,"At the start of this creature's turn, it deals damage to a random enemy equal to 75% of its Attack.",Arsonist Sweat
Nature,Troll,Troll Berserker,Misanthropy,"At the end of this creature's turn, it Attacks 2 random enemies.",Berserker Sweat
Nature,Troll,Troll King,Sadism,"At the start of this creature's turn, enemies take damage equal to 15% of their Current Health.",King Sweat
Nature,Troll,Troll Knife Juggler,Fan of Knives,"After an ally Attacks, this creature deals damage to the target equal to 20% of its Speed.",Knife Juggler Sweat
Nature,Troll,Troll Necksnapper,Skull Bash,"At the end of this creature's turn, it has a 50% chance to send a random enemy to the bottom of the Timeline.",Necksnapper Sweat
Nature,Troll,Troll Youngster,Rude Awakening,"After an enemy is resurrected, this creature deals damage to it equal to 50% of the enemy's Current Health.",Youngster Sweat
Nature,Troll,Trollboar,Year of the Trollboar,"After this creature Provokes, it deals damage to a random enemy equal to 25% of its Intelligence. This effect repeats once for every 5% Health this creature is missing.",Trollboar Lantern
Rodian Master,Troll,Mastery Trait,Master of Trolls,Your Trolls have 25% more Attack and 10% less Intelligence for each Troll fighting on your side. This trait does not stack.,Sigil of the Troll
Life,Unguided,Unguided Agnostic,Dispossession,Your creatures take 50% less damage as a result of their class strength. This trait does not stack.,Dimensional Stardust
Life,Unguided,Unguided Desecrator,Mesmer,"After this creature damages an enemy, the enemy's class is changed to this creature's class weakness. This trait does not stack.",Demolisher Stardust
Life,Unguided,Unguided Heathen,Capitalize,Your creatures deal 75% more damage as a result of their class strength. This trait does not stack.,Errant Stardust
